"MLS.Number","Status","Area","Street.Number","Street.Dir.Prefix","Street.Name","Street.Type","Street.Dir.Suffix","Unit.Number","X..Beds.Total","X..Baths.Full","X..Baths.Half","X..Living","X..Stories","X..Garage.Spaces","Year.Built","Sqft.Total","LP.SqFt","List.Price","S...SF","Sold.Lease.Price","Sold.Lease.Date","ADOM","CDOM","age","relisted","soldMonth","dayssale","latesale","listMonth","floor","Price.Diff","PriceSqrt","PriceListSqrt","agenumeric"
"17",4792662,"Sold","DT",301,"E","4th","ST","","304",1,1,0,1,"1",0,1983,494,"524.29","259000","$554.66","274000","06-10-2015",9,9,33,0,"06",9,1,"06","3",15000,554.655870445344,524.291497975708,33
"18",8585498,"Sold","DT",80,"","Red River","ST","","202",1,1,0,1,"1",1,1982,675,"422.22","285000","$413.33","279000","03-31-2015",19,19,34,0,"03",19,1,"03","2",-6000,413.333333333333,422.222222222222,34
"19",2085930,"Sold","DT",603,"","Davis","ST","","705",1,1,0,1,"1",1,2006,674,"444.96","299900","$419.14","282500","10-02-2015",61,61,10,0,"10",61,0,"08","7",-17400,419.139465875371,444.955489614243,10
"20",4088286,"Sold","DT",904,"","West","Ave","","206",1,1,0,1,"1",1,2010,659,"447.65","295000","$434.22","286150","05-19-2015",1,1,6,0,"05",1,1,"05","2",-8850,434.218512898331,447.647951441578,6
"21",7026003,"Sold","DT",603,"","Davis","ST","","706",1,1,0,1,"1",1,2006,616,"470.62","289900","$470.62","289900","06-02-2015",8,8,10,0,"06",8,1,"05","7",0,470.616883116883,470.616883116883,10
"22",6624721,"Sold","DT",507,"","Sabine","ST","","303",1,1,0,1,"1",0,2007,693,"430.74","298500","$418.47","290000","09-09-2015",84,84,9,0,"09",84,0,"06","3",-8500,418.470418470418,430.735930735931,9
"23",2244030,"Sold","DT",507,"","Sabine","ST","","503",1,1,0,1,"1",0,2007,693,"431.31","298900","$419.91","291000","08-07-2015",94,94,9,0,"08",94,0,"05","5",-7900,419.91341991342,431.313131313131,9
"24",9210584,"Sold","DT",54,"","Rainey","ST","","411",1,1,0,1,"1",1,2005,756,"396.69","299900","$390.21","295000","03-31-2015",172,172,11,0,"03",172,0,"10","4",-4900,390.21164021164,396.693121693122,11
"25",4505208,"Sold","DT",710,"","Colorado","ST","","G10",0,1,0,1,"1",1,1940,638,"482.76","308000","$467.08","298000","06-15-2015",12,12,76,0,"06",12,1,"06","1",-10000,467.084639498433,482.758620689655,76
"26",3855972,"Sold","DT",800,"","Brazos","ST","","804",1,1,0,1,"1",1,1949,723,"435.68","315000","$414.94","300000","09-28-2015",24,24,67,0,"09",24,1,"09","8",-15000,414.9377593361,435.684647302905,67
