"","MLS.Number","Status","Area","Street.Number","Street.Dir.Prefix","Street.Name","Street.Type","Street.Dir.Suffix","Unit.Number","X..Beds.Total","X..Baths.Full","X..Baths.Half","X..Living","X..Stories","X..Garage.Spaces","Year.Built","Sqft.Total","LP.SqFt","List.Price","S...SF","Sold.Lease.Price","Sold.Lease.Date","ADOM","CDOM","age","relisted","soldMonth","listMonth","floor","Price.Diff","condoSize"
"115",3865592,"Sold","DT",1812,"","West","Ave","","105",2,2,0,2,"1",2,2007,1448,"327.69","474500","$316.99","459000","07-30-2015",106,106,9,0,"07","04","1",-15500,"medium"
"116",1426463,"Sold","DT",311,"W","5th","ST","","907",1,1,1,1,"1",1,2002,1243,"378.12","470000","$370.07","460000","03-18-2015",63,63,14,0,"03","01","9",-10000,"medium"
"117",1419807,"Sold","DT",311,"W","5th","ST","","607",1,1,1,1,"1",1,2002,1243,"370.07","460000","$370.07","460000","04-24-2015",1,1,14,0,"04","04","6",0,"medium"
"118",9989720,"Sold","DT",710,"","Colorado","ST","","J10",2,2,0,1,"M",1,1940,1287,"369.08","475000","$359.36","462500","10-30-2015",63,63,76,0,"10","08","1",-12500,"medium"
"119",6547937,"Sold","DT",360,"","NUECES","ST","","3707",1,1,0,1,"1",1,2008,852,"566.9","483000","$554.34","472300","05-05-2015",21,82,8,61,"05","04","3",-10700,"small"
"120",5363246,"Sold","DT",360,"","Nueces","ST","","3501",1,1,0,1,"1",1,2008,801,"636.7","510000","$593.01","475000","12-23-2015",74,74,8,0,"12","10","3",-35000,"small"
"121",9512677,"Sold","DT",40,"N","Interstate 35","","","12D1",2,2,0,1,"1",2,1983,1533,"313.11","480000","$310.62","476182","02-25-2016",84,84,33,0,"02","12","1",-3818,"medium"
"122",8339789,"Sold","DT",710,"","Colorado","ST","","H6",2,2,0,1,"1",1,1940,1235,"396.76","490000","$388.83","480200","04-20-2015",2,2,76,0,"04","04","6",-9800,"medium"
"123",3813880,"Sold","DT",360,"","Nueces","ST","","3607",1,1,0,1,"1",0,2008,852,"580.87","494900","$569.25","485000","02-02-2016",48,48,8,0,"02","12","3",-9900,"small"
"124",1419193,"Sold","DT",54,"","Rainey","ST","","1013",2,2,0,1,"1",2,2005,1164,"427.41","497500","$420.96","490000","03-31-2015",41,41,11,0,"03","02","1",-7500,"medium"
"125",8873646,"Sold","DT",603,"","Davis","ST","","1001",1,1,0,1,"1",1,2006,1005,"497.41","499900","$487.56","490000","09-18-2015",12,12,10,0,"09","09","1",-9900,"small"
"126",3136942,"Sold","DT",603,"","Davis","ST","","1301",1,1,0,1,"1",1,2006,1005,"507.36","509900","$492.54","495000","10-30-2015",4,4,10,0,"10","10","1",-14900,"small"
"127",3163174,"Sold","DT",360,"","Nueces","ST","","1104",2,2,0,1,"1",2,2008,998,"500.5","499500","$496.49","495500","02-12-2016",281,281,8,0,"02","05","1",-4000,"small"
"128",9055934,"Sold","DT",1122,"","Colorado","ST","","1809",2,2,0,1,"1",1,1965,1014,"493","499900","$493.00","499900","10-16-2015",11,11,51,0,"10","10","1",0,"small"
"129",9382091,"Sold","DT",54,"","Rainey","ST","","312",2,2,0,1,"1",2,2005,1164,"420.96","490000","$429.55","500000","03-30-2015",5,5,11,0,"03","03","3",10000,"medium"
"130",5748651,"Sold","DT",54,"","Rainey","ST","","PH09",2,2,0,1,"1",2,2005,1164,"428.69","499000","$429.55","500000","03-31-2015",8,8,11,0,"03","03","0",1000,"medium"
"131",7957084,"Sold","DT",710,"","Colorado","ST","","10I",1,2,0,2,"1",2,1940,1282,"404.84","519000","$390.02","500000","06-26-2015",8,8,76,0,"06","06","1",-19000,"medium"
"132",1424215,"Sold","DT",710,"","Colorado","ST","","H8",2,2,0,1,"1",1,1940,1235,"408.1","504000","$404.86","500000","11-03-2015",4,4,76,0,"11","10","8",-4000,"medium"
"133",9530331,"Sold","DT",360,"","Nueces","ST","","1404",2,2,0,1,"1",2,2008,998,"506.01","505000","$501.00","500000","11-23-2015",20,20,8,0,"11","11","1",-5000,"small"
"134",4809328,"Sold","DT",507,"","Sabine","ST","","405",2,2,0,1,"1",2,2007,1456,"367.45","535000","$346.84","505000","03-24-2015",128,128,9,0,"03","11","4",-30000,"medium"
"135",3043973,"Sold","DT",411,"","Brazos","ST","","201",1,1,0,1,"1",1,1925,1368,"372.08","509000","$372.81","510000","01-15-2016",79,79,91,0,"01","10","2",1000,"medium"
"136",3881233,"Sold","DT",54,"","Rainey","","","306",2,1,1,1,"1",1,2005,1111,"480","533280","$468.05","520000","11-20-2015",13,13,11,0,"11","11","3",-13280,"medium"
"137",8566133,"Sold","DT",210,"","Lavaca","","","1809",1,1,0,1,"1",1,2011,641,"818.25","524500","$818.25","524500","06-19-2015",10,10,5,0,"06","06","1",0,"small"
"138",3868666,"Sold","DT",54,"","Rainey","ST","","318",2,2,0,1,"1",2,2005,1164,"463.83","539900","$458.76","534000","09-25-2015",21,21,11,0,"09","09","3",-5900,"medium"
"139",7493259,"Sold","DT",507,"","Sabine","ST","","507",2,2,0,1,"1",2,2007,1426,"385.69","550000","$374.47","534000","10-14-2015",64,64,9,0,"10","08","5",-16000,"medium"
"140",2178217,"Sold","DT",54,"","Rainey","ST","","301",2,2,0,1,"1",2,2005,1289,"426.69","550000","$418.93","540000","12-04-2015",37,143,11,106,"12","10","3",-10000,"medium"
